name,h_index,i10_index,works_count,cited_by_count,rush_works_5yr,two_year_mean_citedness,rush_dept,college,match_type,orcid,openalex_id,recent_author_works_5yr,senior_author_5yr,first_author_5yr,contributing_author_5yr,ambiguous_author_5yr,leadership_ratio_5yr,rush_affiliated_senior_5yr,external_contributor_5yr,corresponding_author_5yr,mean_fwci_5yr,top10_impact_works_5yr,top10_impact_share_5yr,dominant_topic_5yr,dominant_topic_works_5yr,openalex_awarded_works_5yr,nih_awarded_works_5yr,cross_dept_publications_5yr,rush_led_cross_dept_5yr,nih_project_years_5yr,nih_unique_projects_5yr,nih_active_projects,nih_r01_projects_5yr,nih_total_cost_5yr,nih_pi_match_type
Laurie Gillard,2,1,26,32,3,0.5,College of Health Sciences,College of Health Sciences,rematch_p1(score=40),0000-0003-0153-6758,https://openalex.org/A5016315222,5,2,0,1,2,0.400,2,0,2,0.401,0,0.000,Blood groups and transfusion,2,0,0,0,0,0,0,0,0,0,none
Christopher C. Gillis,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Lisa Giordano,9,8,30,259,3,0.0,Pediatrics,Rush Medical College,rematch_p1(score=50),,https://openalex.org/A5067431213,3,3,0,0,0,1.000,3,0,0,0.200,0,0.000,Blood groups and transfusion,1,0,0,0,0,0,0,0,0,0,none
Monica Gireud-Goss,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Zachary Glaser,0,0,0,0,0,0,Urology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Jennifer Goldfarb,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Sandra L. Gomez,0,0,0,0,0,0,College of Health Sciences,College of Health Sciences,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Sameer Gopal,0,0,0,0,0,0,Internal Medicine,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Madhu S.R. Gorla,0,0,0,0,0,0,Ophthalmology,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Bishoy Goubran,0,0,0,0,0,0,Psychiatry & Behavioral Sciences,Rush Medical College,none,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
