rank,name,csv_h_index,openalex_h_index,h_index_status,csv_dept,rush_directory_dept,dept_status,directory_match_type,directory_match_score,rush_directory_name,rush_directory_title,rush_directory_college,evidence_url,openalex_id
75,Irving Waxman,49,49,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Irving Waxman, MD",The James R. Lowenstine Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/irving-waxman-md,https://openalex.org/A5088448743
76,Sukriti Nag,49,49,match,Pathology,Pathology,match,exact_name,1.000,"Sukriti Nag, MD, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/sukriti-nag-md-phd,https://openalex.org/A5015535104
77,Jeffrey A. Borgia,48,48,match,Anatomy & Cell Biology,Anatomy & Cell Biology,match,exact_name,1.000,"Jeffrey A. Borgia, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/jeffrey-borgia-phd,https://openalex.org/A5032871452
78,Cynthia Comella,48,48,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Cynthia Comella, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/cynthia-comella-md,https://openalex.org/A5062212464
79,Klodian Dhana,48,48,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Klodian Dhana, MD, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/klodian-dhana-md-phd,https://openalex.org/A5088390845
80,George Fitchett,48,48,match,College of Health Sciences,,not_found,not_found,0.857,,,,,https://openalex.org/A5048387063
81,Christopher W. Seder,48,48,match,Cardiovascular & Thoracic Surgery,Cardiovascular & Thoracic Surgery,match,exact_name,1.000,"Christopher W. Seder, MD","The Arthur E. Diggs, MD, and L. Penfield Faber, MD, Professor of Surgical Sciences",Rush Medical College,https://www.rushu.rush.edu/faculty/christopher-w-seder-md,https://openalex.org/A5078163512
82,Celalettin Ustun,48,48,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Celalettin Ustun, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/celalettin-ustun-md,https://openalex.org/A5071407391
83,Melody A. Cobleigh,47,47,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Melody A. Cobleigh, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/melody-cobleigh-md,https://openalex.org/A5043219897
84,Debra Fleischman,47,47,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Debra Fleischman, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/debra-fleischman-phd,https://openalex.org/A5073627725
85,Bryan D. James,47,47,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Bryan D. James, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/bryan-d-james-phd,https://openalex.org/A5060510574
86,Jun Li,47,47,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Jun Li, MD",Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/jun-li-md,https://openalex.org/A5100361833
87,Mathew Mathew,47,47,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Mathew Mathew, PhD",Adjunct Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/mathew-mathew-phd,https://openalex.org/A5009493312
