appl_id,subproject_id,faculty_name,rush_dept,pi_full_name,pi_match_type,is_contact_pi,fiscal_year,project_num,core_project_num,activity_code,agency,award_amount,is_active,project_title,organization,project_start_date,project_end_date
11063110,,Kathrin Banach,Internal Medicine,Kathrin  Banach,exact_first_last,true,2025,5R01HL155762-04,R01HL155762,R01,NHLBI,673508,true,"IP3 receptor, NOX2 and calcium signaling domains in atrial physiology and pathophysiology",RUSH UNIVERSITY MEDICAL CENTER,2022-04-01T00:00:00,2027-03-31T00:00:00
11118819,,Kathrin Banach,Internal Medicine,Kathrin  Banach,exact_first_last,true,2025,5R01HL164453-04,R01HL164453,R01,NHLBI,706810,true,"Atrial Excitation-Contraction Coupling, Calcium Signaling and Electro-Mechanical Alternans",RUSH UNIVERSITY MEDICAL CENTER,2022-07-20T00:00:00,2026-06-30T00:00:00
11118819,,Giedrius Kanaporis,Physiology & Biophysics,Giedrius  Kanaporis,exact_first_last,false,2025,5R01HL164453-04,R01HL164453,R01,NHLBI,706810,true,"Atrial Excitation-Contraction Coupling, Calcium Signaling and Electro-Mechanical Alternans",RUSH UNIVERSITY MEDICAL CENTER,2022-07-20T00:00:00,2026-06-30T00:00:00
11014462,,,,Camille Emilie Adeline Mace,unmatched,true,2025,5R01DK133330-03,R01DK133330,R01,NIDDK,312840,false,Covid-19 induced worsening of glomerular diseases,RUSH UNIVERSITY MEDICAL CENTER,2023-03-15T00:00:00,2027-12-31T00:00:00
11025226,,,,Eduardo  Molina Jijon,unmatched,true,2025,1R01DK141612-01,R01DK141612,R01,NIDDK,343650,false,Hodgkin’s Lymphoma-induced Nephrotic Syndrome,RUSH UNIVERSITY MEDICAL CENTER,2025-01-01T00:00:00,2029-11-30T00:00:00
11057575,,,,Pui Ying  Lam,unmatched,false,2025,5R21DK139449-02,R21DK139449,R21,NIDDK,196859,true,Developing Danionella cerebrum as an adult vertebrate model to study kidney disease,RUSH UNIVERSITY MEDICAL CENTER,2024-04-01T00:00:00,2027-03-31T00:00:00
11057575,,Steve Mangos,Internal Medicine,Steve  Mangos,exact_first_last,true,2025,5R21DK139449-02,R21DK139449,R21,NIDDK,196859,true,Developing Danionella cerebrum as an adult vertebrate model to study kidney disease,RUSH UNIVERSITY MEDICAL CENTER,2024-04-01T00:00:00,2027-03-31T00:00:00
11076263,,Yanling Wang,Neurological Sciences,Yanling  Wang,exact_first_last,true,2025,5R01AG074082-04,R01AG074082,R01,NIA,710201,false,"Uncovering cell-type-specific driver genes of Alzheimer's Disease by pathology-indexing scRNA-seq, spatial transcriptomics, and CRISPR screens",RUSH UNIVERSITY MEDICAL CENTER,2022-04-15T00:00:00,2027-03-31T00:00:00
11086086,,Sumant S. Chugh,Internal Medicine,Sumant Singh Chugh,exact_first_last,true,2025,5R01DK128203-05,R01DK128203,R01,NIDDK,527321,false,Soluble mediators of relapse,RUSH UNIVERSITY MEDICAL CENTER,2021-05-01T00:00:00,2026-04-30T00:00:00
11145233,,Alifiya Kapasi,Pathology,Alifiya  Kapasi,exact_first_last,true,2025,5K01AG075177-04,K01AG075177,K01,NIA,110521,true,Small vessel disease contributions to neurodegeneration in Alzheimer's disease,RUSH UNIVERSITY MEDICAL CENTER,2022-08-15T00:00:00,2027-07-31T00:00:00
11224244,,Hannah J. Lundberg,Orthopedic Surgery,Hannah Jean Lundberg,exact_first_last,true,2025,1R01AR084468-01A1,R01AR084468,R01,NIAMS,596189,true,Preclinical Assessment Tools for Preventing Fretting-Corrosion within Modular Junctions of Total Joint Replacement,RUSH UNIVERSITY MEDICAL CENTER,2025-09-05T00:00:00,2030-07-31T00:00:00
11224244,,Mathew Mathew,Orthopedic Surgery,Mathew Thoppil Mathew,exact_first_last,false,2025,1R01AR084468-01A1,R01AR084468,R01,NIAMS,596189,true,Preclinical Assessment Tools for Preventing Fretting-Corrosion within Modular Junctions of Total Joint Replacement,RUSH UNIVERSITY MEDICAL CENTER,2025-09-05T00:00:00,2030-07-31T00:00:00
